Accelerometor Data,Action
"[[10.035648345947266, 1.1108160018920898, -0.9959040284156799], [2.145024061203003, -7.354368209838867, -2.2216320037841797]]",jumping
"[[19.5350399017334, 8.771615982055664, -7.277760028839111], [2.145024061203003, -7.354368209838867, -2.2216320037841797]]",jumping
"[[19.5350399017334, 8.771615982055664, -7.277760028839111], [2.145024061203003, -7.354368209838867, -2.2216320037841797]]",jumping
"[[19.5350399017334, 8.771615982055664, -7.277760028839111], [-1.7619839906692505, -16.54732894897461, -3.523967981338501]]",jumping
"[[19.5350399017334, 8.771615982055664, -7.277760028839111], [-1.7619839906692505, -16.54732894897461, -3.523967981338501]]",jumping
"[[10.227168083190918, -1.9918080568313599, -1.1108160018920898], [-1.7619839906692505, -16.54732894897461, -3.523967981338501]]",jumping
"[[10.227168083190918, -1.9918080568313599, -1.1108160018920898], [-4.826303958892822, -19.5350399017334, -0.5362560153007507]]",jumping
"[[0.26812800765037537, 0.49795201420783997, 0.42134401202201843], [-4.826303958892822, -19.5350399017334, -0.5362560153007507]]",jumping
"[[0.26812800765037537, 0.49795201420783997, 0.42134401202201843], [-4.826303958892822, -19.5350399017334, -0.5362560153007507]]",jumping
"[[0.26812800765037537, 0.49795201420783997, 0.42134401202201843], [-4.826303958892822, -19.5350399017334, -0.5362560153007507]]",jumping
"[[-0.03830400109291077, 0.38304001092910767, -1.2257280349731445], [-13.329792022705078, -19.5350399017334, -1.8768960237503052]]",jumping
"[[-0.03830400109291077, 0.38304001092910767, -1.2257280349731445], [1.0725120306015015, -1.5321600437164307, -1.264032006263733]]",jumping
"[[10.456992149353027, 4.749695777893066, -4.021920204162598], [1.0725120306015015, -1.5321600437164307, -1.264032006263733]]",jumping
"[[10.456992149353027, 4.749695777893066, -4.021920204162598], [2.796191930770874, -6.85641622543335, -4.673088073730469]]",jumping
"[[10.610207557678223, -0.38304001092910767, -0.8043839931488037], [2.796191930770874, -6.85641622543335, -4.673088073730469]]",jumping
"[[10.610207557678223, -0.38304001092910767, -0.8043839931488037], [2.796191930770874, -6.85641622543335, -4.673088073730469]]",jumping
"[[10.610207557678223, -0.38304001092910767, -0.8043839931488037], [2.796191930770874, -6.85641622543335, -4.673088073730469]]",jumping
"[[10.610207557678223, -0.38304001092910767, -0.8043839931488037], [-14.785344123840332, -19.5350399017334, -16.432416915893555]]",jumping
